"","aco","site","workgroup_collapsed","speakanon","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler"
"1832",1,102,5,"660dddf2",8,1,10.58,99,99,8,0,100,75,50,25,12.5,0,12.5,0,0,25,0,12.5,12.5,0,0,12.5,25,12.5,0,12.5,0,0,12.5,12.5,0,0,0,0,12.5,0,0,0,0,37.5,12.5,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1833",1,102,5,"interviewer",22,96.29,96.52,11,25.77,22,9.09,90.91,54.55,13.64,9.09,4.55,0,4.55,0,0,4.55,13.64,18.18,0,9.09,4.55,0,0,9.09,13.64,4.55,0,4.55,0,0,0,0,0,0,18.18,4.55,0,0,0,9.09,4.55,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,9.09,0,4.55,0,0,4.55,9.09,0,0,0,0,0,0,0,0,0,0,0
"1834",1,102,5,"660dddf2",14,92.84,7.67,52.86,25.77,14,14.29,100,57.14,21.43,14.29,14.29,0,0,0,0,7.14,14.29,14.29,7.14,0,0,0,7.14,7.14,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,7.14,0,0,0,0,0,0,7.14,0,7.14,0,0,7.14,0,7.14,0,0,0,0,14.29,0,7.14,0,0,7.14,14.29,0,0,0,0,0,7.14,0,0,0,7.14,0
"1835",1,102,5,"interviewer",35,80.28,92.33,1,78.19,35,11.43,88.57,62.86,14.29,8.57,2.86,0,5.71,0,0,5.71,11.43,17.14,11.43,2.86,8.57,0,17.14,2.86,2.86,0,2.86,5.71,2.86,2.86,0,0,0,0,14.29,0,2.86,0,0,17.14,0,0,5.71,2.86,5.71,2.86,0,0,0,0,0,0,0,0,0,5.71,5.71,5.71,0,0,0,0,11.43,2.86,2.86,0,0,2.86,5.71,5.71,0,0,0,0,0,0,0,0,0,0
"1836",1,102,5,"660dddf2",7,67.14,7.67,89.63,25.77,3.5,14.29,85.71,57.14,14.29,0,0,0,0,0,0,14.29,28.57,0,14.29,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0
"1837",1,102,5,"interviewer",10,77.33,97.69,99,25.77,10,10,100,60,20,0,0,0,0,0,0,20,10,20,10,10,0,0,30,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,40,10,20,10,0,0,10,0,0,0,0,0,0,0,0,0
"1838",1,102,5,"660dddf2",10,51.43,50,3.37,99,10,10,90,60,10,0,0,0,0,0,0,10,10,10,20,10,0,0,20,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,0,20,0,10,0,0,0,0,0,20,0,0,0,20,0
"1839",1,102,5,"interviewer",11,1,96.52,31.94,25.77,5.5,9.09,90.91,45.45,27.27,9.09,0,0,9.09,0,0,18.18,0,0,0,9.09,18.18,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,18.18,9.09,0,9.09,0,18.18,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0
"1840",1,102,5,"660dddf2",45,3.09,5.99,95.38,25.77,11.25,2.22,95.56,71.11,22.22,13.33,6.67,2.22,0,4.44,0,8.89,6.67,11.11,11.11,8.89,15.56,6.67,17.78,2.22,4.44,2.22,6.67,0,0,0,0,0,0,0,11.11,2.22,0,6.67,0,17.78,0,0,4.44,6.67,0,15.56,0,0,0,0,0,0,0,0,0,6.67,2.22,4.44,0,0,0,0,20,4.44,17.78,2.22,4.44,11.11,4.44,0,0,0,0,0,0,0,0,0,0,0
"1841",1,102,5,"interviewer",6,1,50,1,25.77,6,0,83.33,66.67,0,0,0,0,0,0,0,0,0,0,16.67,50,16.67,0,16.67,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
